date,ID Number,puzzle_idx,Puzzle Number,expected result,is_correct_str,blame_target,user_solution,robot_s,timer_value
19/07/2022 13:17:07,20,5,6,1,correct,none,42,42,109
19/07/2022 13:23:27,20,0,1,0,incorrect,robot,-38,1,167
19/07/2022 13:28:58,20,1,2,0,incorrect,robot,40,-48,167
19/07/2022 13:33:56,20,4,5,1,correct,none,0,4,148
19/07/2022 13:39:04,20,2,3,0,incorrect,human,25,46,175
19/07/2022 13:44:16,20,3,4,0,incorrect,human,-30,-40,93
19/07/2022 14:44:44,21,5,6,1,correct,none,0,3,168
19/07/2022 14:51:04,21,1,2,0,incorrect,robot,30,46,129
19/07/2022 14:56:57,21,0,1,0,incorrect,robot,-38,45,134
19/07/2022 15:01:12,21,4,5,1,correct,none,43,-4,173
19/07/2022 15:05:55,21,2,3,0,incorrect,human,-10,40,169
19/07/2022 15:10:40,21,3,4,0,incorrect,human,-5,38,167
20/07/2022 10:51:27,50,5,6,1,correct,none,15,-47,152
20/07/2022 10:56:16,50,0,1,0,incorrect,none,15,3,171
20/07/2022 11:00:45,50,1,2,0,incorrect,none,15,43,148
20/07/2022 11:04:02,50,4,5,1,correct,none,13,3,171
20/07/2022 11:08:35,50,2,3,0,incorrect,none,10,-43,165
20/07/2022 11:13:20,50,3,4,0,incorrect,none,10,36,107
20/07/2022 14:43:00,51,5,6,1,correct,none,42,-3,179
20/07/2022 14:49:40,51,1,2,0,incorrect,none,0,-44,115
20/07/2022 15:01:04,51,0,1,0,incorrect,none,11,34,163
20/07/2022 15:05:55,51,4,5,1,correct,none,27,-1,172
20/07/2022 15:10:48,51,2,3,0,incorrect,none,-11,-40,180
20/07/2022 15:15:57,51,3,4,0,incorrect,none,0,48,140
22/07/2022 14:48:58,49,5,6,1,correct,none,42,47,152
22/07/2022 14:55:14,49,0,1,0,incorrect,none,-12,3,195
22/07/2022 15:02:55,49,1,2,0,incorrect,none,15,46,159
22/07/2022 15:09:21,49,4,5,1,correct,none,43,-4,183
22/07/2022 15:14:54,49,2,3,0,incorrect,none,0,-49,188
22/07/2022 15:20:30,49,3,4,0,incorrect,none,5,43,103
26/07/2022 14:43:07,22,5,6,1,correct,none,2,-1,146
26/07/2022 14:49:02,22,2,3,0,incorrect,human,0,-48,136
26/07/2022 14:54:01,22,0,1,0,incorrect,robot,12,44,123
26/07/2022 14:58:28,22,4,5,1,correct,none,43,-4,172
26/07/2022 15:03:30,22,1,2,0,incorrect,robot,-10,-48,185
26/07/2022 15:09:07,22,3,4,0,incorrect,human,20,38,79
27/07/2022 13:18:51,23,5,6,1,correct,none,42,43,182
27/07/2022 13:24:14,23,3,4,0,incorrect,human,-24,-48,51
27/07/2022 13:27:29,23,0,1,0,incorrect,robot,38,39,82
27/07/2022 13:30:32,23,4,5,1,correct,none,43,-3,158
27/07/2022 13:34:48,23,1,2,0,incorrect,robot,-10,-2,158
27/07/2022 13:38:59,23,2,3,0,incorrect,human,0,-2,136
28/07/2022 10:50:24,52,5,6,1,correct,none,42,30,45
28/07/2022 10:54:40,52,2,3,0,incorrect,none,-10,-4,126
28/07/2022 10:58:55,52,0,1,0,incorrect,none,12,-44,98
28/07/2022 11:01:49,52,4,5,1,correct,none,43,48,53
28/07/2022 11:05:18,52,1,2,0,incorrect,none,30,4,130
28/07/2022 11:09:39,52,3,4,0,incorrect,none,-30,41,162
09/08/2022 8:31:57,0,5,6,1,correct,none,0,38,11
09/08/2022 9:18:08,53,5,6,1,correct,none,42,30,129
09/08/2022 9:25:13,53,3,4,0,incorrect,none,-5,47,174
09/08/2022 9:29:31,53,0,1,0,incorrect,none,48,-47,107
09/08/2022 9:34:38,53,4,5,1,correct,none,-27,-34,108
09/08/2022 9:39:52,53,1,2,0,incorrect,none,-10,-1,173
09/08/2022 9:45:49,53,2,3,0,incorrect,none,-10,-2,178
09/08/2022 11:05:16,54,5,6,1,correct,none,42,40,157
09/08/2022 11:10:51,54,0,1,0,incorrect,none,12,-48,156
09/08/2022 11:17:11,54,1,2,0,incorrect,none,45,2,171
09/08/2022 11:21:40,54,4,5,1,correct,none,27,32,115
09/08/2022 11:27:08,54,3,4,0,incorrect,none,-5,49,178
09/08/2022 11:31:48,54,2,3,0,incorrect,none,-10,-4,178
09/08/2022 13:14:40,55,5,6,1,correct,none,21,49,78
09/08/2022 13:21:15,55,1,2,0,incorrect,none,-43,-1,174
09/08/2022 13:25:05,55,0,1,0,incorrect,none,12,-40,56
09/08/2022 13:29:29,55,4,5,1,correct,none,43,41,78
09/08/2022 13:34:28,55,3,4,0,incorrect,none,-5,48,175
09/08/2022 13:39:32,55,2,3,0,incorrect,none,5,2,172
09/08/2022 14:45:29,56,5,6,1,correct,none,42,36,126
09/08/2022 14:51:27,56,2,3,0,incorrect,none,-10,-1,176
09/08/2022 14:56:08,56,0,1,0,incorrect,none,12,-42,138
09/08/2022 15:00:20,56,4,5,1,correct,none,43,36,122
09/08/2022 15:05:06,56,3,4,0,incorrect,none,-20,43,169
09/08/2022 15:10:28,56,1,2,0,incorrect,none,-10,-1,177
10/08/2022 10:54:20,24,5,6,1,correct,none,20,35,102
10/08/2022 10:58:59,24,0,1,0,incorrect,robot,38,-40,112
10/08/2022 11:04:39,24,1,2,0,incorrect,robot,33,4,182
10/08/2022 11:09:17,24,4,5,1,correct,none,43,32,159
10/08/2022 11:13:55,24,3,4,0,incorrect,human,12,-42,172
10/08/2022 11:18:13,24,2,3,0,incorrect,human,25,3,155
10/08/2022 13:18:06,25,5,6,1,correct,none,10,37,124
10/08/2022 13:23:01,25,1,2,0,incorrect,robot,30,1,128
10/08/2022 13:28:28,25,0,1,0,incorrect,robot,12,-49,111
10/08/2022 13:31:55,25,4,5,1,correct,none,31,40,72
10/08/2022 13:36:48,25,3,4,0,incorrect,human,36,-40,178
10/08/2022 13:40:52,25,2,3,0,incorrect,human,-10,-4,146
10/08/2022 14:06:36,26,5,6,1,correct,none,1,46,92
10/08/2022 14:12:42,26,2,3,0,incorrect,human,0,-3,161
10/08/2022 14:17:19,26,0,1,0,incorrect,robot,38,-47,155
10/08/2022 14:21:23,26,4,5,1,correct,none,43,35,110
10/08/2022 14:25:40,26,3,4,0,incorrect,human,10,-44,154
10/08/2022 14:30:21,26,1,2,0,incorrect,robot,-10,-2,159
11/08/2022 8:26:14,0,5,6,1,correct,none,23,31,2
11/08/2022 8:27:50,0,3,4,0,incorrect,human,-23,43,2
11/08/2022 8:58:08,27,5,6,1,correct,none,10,38,75
11/08/2022 9:05:15,27,3,4,0,incorrect,human,-30,40,185
11/08/2022 9:11:13,27,0,1,0,incorrect,robot,12,-43,172
11/08/2022 9:15:51,27,4,5,1,correct,none,43,45,117
11/08/2022 9:20:11,27,2,3,0,incorrect,human,-10,-1,171
11/08/2022 9:26:28,27,1,2,0,incorrect,robot,-10,-1,177
11/08/2022 10:43:14,28,5,6,1,correct,none,42,30,63
11/08/2022 10:47:56,28,0,1,0,incorrect,robot,12,-44,135
11/08/2022 10:52:33,28,2,3,0,incorrect,human,0,-3,167
11/08/2022 10:55:19,28,4,5,1,correct,none,43,39,53
11/08/2022 10:59:24,28,1,2,0,incorrect,robot,30,3,159
11/08/2022 11:03:48,28,3,4,0,incorrect,human,-30,41,169
11/08/2022 13:34:50,29,5,6,1,correct,none,44,35,124
11/08/2022 13:44:04,29,1,2,0,incorrect,robot,31,1,194
11/08/2022 13:49:55,29,2,3,0,incorrect,human,45,2,146
11/08/2022 13:56:03,29,4,5,1,correct,none,23,43,167
11/08/2022 14:01:45,29,0,1,0,incorrect,robot,12,-41,104
11/08/2022 14:07:34,29,3,4,0,incorrect,human,13,-45,174
11/08/2022 14:48:37,30,5,6,1,correct,none,42,48,150
11/08/2022 14:54:16,30,2,3,0,incorrect,human,30,2,176
11/08/2022 14:58:52,30,1,2,0,incorrect,robot,30,4,132
11/08/2022 15:03:02,30,4,5,1,correct,none,20,46,108
11/08/2022 15:07:35,30,0,1,0,incorrect,robot,25,-44,156
11/08/2022 15:12:23,30,3,4,0,incorrect,human,5,-49,176
12/08/2022 9:15:28,57,5,6,1,correct,none,0,48,113
12/08/2022 9:21:28,57,3,4,0,incorrect,none,5,-42,176
12/08/2022 9:25:31,57,0,1,0,incorrect,none,12,-40,92
12/08/2022 9:30:59,57,4,5,1,correct,none,27,43,169
12/08/2022 9:35:34,57,2,3,0,incorrect,none,0,-2,160
12/08/2022 9:40:06,57,1,2,0,incorrect,none,0,-1,174
12/08/2022 11:06:32,58,5,6,1,correct,none,2,33,119
12/08/2022 11:11:28,58,0,1,0,incorrect,none,-38,40,87
12/08/2022 11:17:26,58,2,3,0,incorrect,none,-5,-4,155
12/08/2022 11:20:33,58,4,5,1,correct,none,43,42,91
12/08/2022 11:24:33,58,1,2,0,incorrect,none,40,3,152
12/08/2022 11:29:30,58,3,4,0,incorrect,none,25,-49,181
12/08/2022 13:17:40,59,5,6,1,correct,none,10,42,58
12/08/2022 13:22:00,59,1,2,0,incorrect,none,0,-1,99
12/08/2022 13:27:05,59,2,3,0,incorrect,none,25,3,101
12/08/2022 13:29:56,59,4,5,1,correct,none,43,31,84
12/08/2022 13:33:05,59,0,1,0,incorrect,none,12,-43,70
12/08/2022 13:37:20,59,3,4,0,incorrect,none,-5,42,148
16/08/2022 13:22:25,60,5,6,1,correct,none,44,39,125
16/08/2022 13:27:18,60,2,3,0,incorrect,none,-10,-3,96
16/08/2022 13:33:18,60,1,2,0,incorrect,none,-10,-2,177
16/08/2022 13:37:06,60,4,5,1,correct,none,43,41,100
16/08/2022 13:40:57,60,0,1,0,incorrect,none,-38,47,106
16/08/2022 13:46:33,60,3,4,0,incorrect,none,-21,48,178
16/08/2022 14:41:36,61,5,6,1,correct,none,10,47,161
16/08/2022 14:47:30,61,3,4,0,incorrect,none,-15,42,173
16/08/2022 14:52:22,61,1,2,0,incorrect,none,30,2,142
16/08/2022 14:57:33,61,4,5,1,correct,none,-10,-48,177
16/08/2022 15:02:14,61,0,1,0,incorrect,none,38,-45,161
16/08/2022 15:06:47,61,2,3,0,incorrect,none,0,-2,166
