Timestamp,ID number,Have you ever watched a movie or television show that includes robots? ,Have you ever interacted with a robot? (select all that apply),Have you ever built a robot? (select all that apply),Have you ever controlled a robot? (select all that apply),I would feel relaxed talking with robots.,I would feel uneasy if I was given a job where I had to use robots. ,If robots had emotions I would be able to make friends with them.,Most robots possess adequate decision making capabilities.,I like Sawyer.,Sawyer is Intelligent,Sawyer is a(n) Team Player,Sawyer is Friendly,Sawyer is Honest
7/19/2022 13:02:45,20,10+ shows/movies,"Toys such as Furby or Sphero, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,Computer programmed,3,2,4,5,4,4,4,4,4
7/19/2022 14:34:27,21,10+ shows/movies,"Museum or theme park animatronics, Everyday items such as cell phone, computer, ATM, or Xbox",NA,"Teleoperation or remote control, Speech, Gesture, Commands, Computer programmed",7,1,7,5,7,7,7,7,7
7/20/2022 10:38:05,50,10+ shows/movies,"Everyday items such as cell phone, computer, ATM, or Xbox",Internship/job setting,Computer programmed,6,1,7,4,5,3,5,4,4
7/20/2022 14:34:47,51,1-5 shows/movies,"Museum or theme park animatronics, Classroom robots or Battlebots, Sawyer (the robot in this experiment), Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,"Teleoperation or remote control, Speech, Gesture, Commands",7,5,4,2,4,2,6,4,6
7/22/2022 14:36:21,49,10+ shows/movies,"Toys such as Furby or Sphero, Robot vacuum, Classroom robots or Battlebots, Everyday items such as cell phone, computer, ATM, or Xbox","Club setting, Internship/job setting, Research setting, build robots on my own also","Teleoperation or remote control, Computer programmed",7,2,6,1,7,4,6,6,6
7/26/2022 14:33:41,22,10+ shows/movies,"Museum or theme park animatronics, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",NO,Computer programmed,7,2,4,6,4,4,4,4,4
7/27/2022 13:10:15,23,6-10 shows/movies,"Museum or theme park animatronics, Toys such as Furby or Sphero, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,"Teleoperation or remote control, Computer programmed",6,1,7,4,6,5,5,5,7
7/28/2022 10:39:17,52,6-10 shows/movies,"Museum or theme park animatronics, Toys such as Furby or Sphero, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",No,"Teleoperation or remote control, Speech, Gesture, Commands, Computer programmed",5,3,6,5,5,5,4,5,6
8/9/2022 9:03:51,53,6-10 shows/movies,"Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",None,"Teleoperation or remote control, Speech, Gesture, Commands",4,1,5,3,5,5,1,5,5
8/9/2022 10:48:49,54,1-5 shows/movies,"Museum or theme park animatronics, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",hobby project back in school,Computer programmed,6,1,7,6,6,5,4,4,4
8/9/2022 13:03:02,55,10+ shows/movies,"Everyday items such as cell phone, computer, ATM, or Xbox",Not Applicable,Not Applicable,5,1,6,7,6,6,4,4,4
8/9/2022 14:32:35,56,1-5 shows/movies,"Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,"Speech, Gesture, Commands",7,2,7,5,7,5,6,7,6
8/10/2022 10:41:46,24,1-5 shows/movies,"Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,Computer programmed,7,1,7,4,7,7,7,7,7
8/10/2022 13:08:05,25,1-5 shows/movies,"Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",NA,Just the robot vaccum,6,1,7,5,6,5,5,6,5
8/10/2022 13:55:13,26,1-5 shows/movies,"Museum or theme park animatronics, Classroom robots or Battlebots, Everyday items such as cell phone, computer, ATM, or Xbox",A car bot actually using Arduino,"Speech, Gesture, Commands",6,2,6,4,7,6,4,7,6
8/11/2022 8:48:23,27,10+ shows/movies,"Toys such as Furby or Sphero, Sawyer (the robot in this experiment), Everyday items such as cell phone, computer, ATM, or Xbox",No,Computer programmed,4,2,5,6,7,3,6,6,7
8/11/2022 10:34:41,28,6-10 shows/movies,"Museum or theme park animatronics, Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",I don't think I've built a robot before,Not really sure,5,2,4,4,6,5,4,4,4
8/11/2022 13:19:56,29,1-5 shows/movies,"Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",Club setting,Computer programmed,6,2,5,6,6,5,5,5,7
8/11/2022 14:36:13,30,10+ shows/movies,"Museum or theme park animatronics, Toys such as Furby or Sphero, Robot vacuum, Classroom robots or Battlebots, Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,"Teleoperation or remote control, Computer programmed",6,1,5,3,3,3,4,4,4
8/12/2022 9:01:26,57,1-5 shows/movies,Museum or theme park animatronics,No,Computer programmed,6,3,7,4,6,6,2,7,7
8/12/2022 10:50:52,58,10+ shows/movies,"Classroom robots or Battlebots, Everyday items such as cell phone, computer, ATM, or Xbox",Classroom setting,Computer programmed,7,1,4,4,4,4,4,4,4
8/12/2022 13:07:10,59,6-10 shows/movies,"Robot vacuum, Everyday items such as cell phone, computer, ATM, or Xbox",N/A,"Teleoperation or remote control, Computer programmed",5,6,5,6,4,4,4,4,4
8/16/2022 13:10:59,60,10+ shows/movies,"Museum or theme park animatronics, Toys such as Furby or Sphero, Classroom robots or Battlebots, Everyday items such as cell phone, computer, ATM, or Xbox","Classroom setting, Internship/job setting","Teleoperation or remote control, Computer programmed",7,2,5,4,6,5,4,5,4
8/16/2022 14:32:35,61,10+ shows/movies,"Museum or theme park animatronics, Classroom robots or Battlebots, Sawyer (the robot in this experiment), Everyday items such as cell phone, computer, ATM, or Xbox, UR5 in a research setting, Self driving model car in class setting","Classroom setting, Club setting","Teleoperation or remote control, Computer programmed",5,1,5,1,3,4,2,4,6